기업명,신규상장일,현재가(원),전일비(%),공모가(원),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원)
하이스팩8호,2023/06/22,"2,095",0.00%,"2,000",4.75%,"2,095",4.75%,"2,125"
프로테옴텍,2023/06/16,"3,360",-3.03%,"4,500",-25.33%,"6,500",44.44%,-
큐라티스,2023/06/15,"3,505",2.19%,"4,000",-12.38%,"4,500",12.5%,"5,850"
마녀공장,2023/06/08,"37,250",0.95%,"16,000",132.81%,"32,000",100%,-
나라셀라,2023/06/02,"7,060",-3.29%,"20,000",-64.7%,"19,500",-2.5%,"17,500"
진영(구.진영엘디엠),2023/06/01,"6,600",-2.08%,"5,000",32%,"10,000",100%,"8,680"
기가비스,2023/05/24,"83,900",-0.94%,"43,000",95.12%,"71,200",65.58%,"79,000"
모니터랩,2023/05/19,"6,900",-4.83%,"9,800",-29.59%,"19,600",100%,"14,200"
씨유박스,2023/05/19,"10,420",2.56%,"15,000",-30.53%,"15,680",4.53%,"13,920"
키움스팩8호,2023/05/17,"2,080",-0.24%,"2,000",4%,"2,050",2.5%,"2,070"
트루엔,2023/05/17,"11,830",7.74%,"12,000",-1.42%,"19,340",61.17%,"17,200"
에스바이오메딕스,2023/05/04,"10,340",3.30%,"18,000",-42.56%,"23,150",28.61%,"18,830"
토마토시스템,2023/04/27,"3,875",-0.64%,"18,200",-78.71%,"18,100",-0.55%,"14,650"
마이크로투나노,2023/04/26,"18,510",-1.28%,"15,500",19.42%,"25,200",62.58%,"20,650"
삼성FN리츠(유가),2023/04/10,"5,020",0.00%,"5,000",0.4%,"4,790",-4.2%,"4,855"
미래에셋비전스팩3호,2023/04/07,"2,065",0.24%,"2,000",3.25%,"2,005",0.25%,-
IBKS스팩22호,2023/04/06,"2,255",0.45%,"2,000",12.75%,"2,055",2.75%,"2,090"
하나스팩27호,2023/04/06,"2,150",0.00%,"2,000",7.5%,"2,000",0%,"2,005"
지아이이노베이션,2023/03/30,"29,750",1.02%,"13,000",128.85%,"18,950",45.77%,"20,250"
엘비인베스트먼트,2023/03/29,"4,145",-0.60%,"5,100",-18.73%,"6,500",27.45%,"8,450"
한화위탁관리부동산투자회사,2023/03/27,"5,200",0.00%,"5,000",4%,"4,900",-2%,"4,510"
유안타스팩12호,2023/03/17,"2,055",0.00%,"2,000",2.75%,"1,997",-0.15%,"1,998"
미래에셋드림스팩1호,2023/03/15,"9,460",0.32%,"10,000",-5.4%,"9,370",-6.3%,"9,410"
금양그린파워,2023/03/13,"13,420",-0.89%,"10,000",34.2%,"19,000",90%,"16,200"
NH스팩28호,2023/03/09,"2,230",0.00%,"2,000",11.5%,"2,100",5%,"2,100"
자람테크놀로지,2023/03/07,"31,800",-4.65%,"22,000",44.55%,"44,000",100%,"42,700"
하나스팩26호,2023/03/07,"2,060",-1.20%,"2,000",3%,"2,000",0%,"1,999"
나노팀,2023/03/03,"19,900",-1.49%,"13,000",53.08%,"26,000",100%,"29,800"
삼성스팩8호,2023/03/02,"9,700",-0.10%,"10,000",-3%,"10,100",1%,"9,980"
바이오인프라,2023/03/02,"15,050",-4.44%,"21,000",-28.33%,"42,000",100%,"29,400"
유안타스팩13호,2023/02/28,"2,020",-0.25%,"2,000",1%,"2,010",0.5%,"1,999"
미래에셋비전스팩2호,2023/02/24,"2,105",0.00%,"2,000",5.25%,"4,000",100%,"2,800"
이노진,2023/02/20,"3,250",-0.91%,"3,000",8.33%,"6,000",100%,"7,800"
제이오,2023/02/16,"26,950",-1.64%,"13,000",107.31%,"19,900",53.08%,"21,500"
샌즈랩,2023/02/15,"9,210",-3.56%,"10,500",-12.29%,"21,000",100%,"24,900"
꿈비,2023/02/09,"9,340",2.08%,"5,000",86.8%,"10,000",100%,"13,000"
스튜디오미르,2023/02/07,"28,650",0.88%,"19,500",46.92%,"39,000",100%,"50,700"
삼기이브이,2023/02/03,"14,480",2.55%,"11,000",31.64%,"22,000",100%,"26,850"
오브젠,2023/01/30,"46,100",-2.33%,"18,000",156.11%,"36,000",100%,"46,800"
미래반도체,2023/01/27,"21,600",-4.64%,"6,000",260%,"12,000",100%,-
한주라이트메탈(구.한주금속),2023/01/19,"4,170",-2.46%,"3,100",34.52%,"4,115",32.74%,"5,340"
티이엠씨,2023/01/19,"40,600",-0.98%,"28,000",45%,"27,950",-0.18%,"28,100"
신영스팩9호,2022/12/27,"2,085",-0.24%,"2,000",4.25%,"1,985",-0.75%,"1,985"
바이오노트(유가),2022/12/22,"5,500",-2.31%,"9,000",-38.89%,"9,980",10.89%,"10,650"
비엔케이스팩1호,2022/12/22,"2,050",0.00%,"2,000",2.5%,"1,980",-1%,"1,985"
IBKS스팩21호,2022/12/16,"2,210",-0.45%,"2,000",10.5%,"2,015",0.75%,"2,000"
NH스팩27호,2022/12/16,"2,050",-1.68%,"2,000",2.5%,"1,990",-0.5%,"1,980"
에스에이엠지엔터테인먼트,2022/12/06,"22,500",-7.02%,"17,000",32.35%,"18,050",6.18%,"23,450"
대신밸런스스팩14호,2022/12/05,"2,475",0.00%,"2,000",23.75%,"1,985",-0.75%,"1,995"
NH스팩26호,2022/12/01,"2,030",-1.69%,"2,000",1.5%,"1,995",-0.25%,"1,980"
유진스팩9호,2022/12/01,"2,190",-2.23%,"2,000",9.5%,"2,000",0%,"1,985"
대신밸런스스팩13호,2022/11/28,"2,190",-1.35%,"2,000",9.5%,"2,000",0%,"2,000"
펨트론,2022/11/24,"13,980",-4.25%,"8,000",74.75%,"9,820",22.75%,"9,210"
인벤티지랩,2022/11/22,"22,700",-1.30%,"12,000",89.17%,"12,750",6.25%,"14,950"
엔젯,2022/11/18,"20,100",-4.29%,"10,000",101%,"9,000",-10%,"10,850"
유비온,2022/11/18,"2,220",0.23%,"2,000",11%,"1,850",-7.5%,"1,745"
티쓰리엔터테인먼트,2022/11/17,"1,475",-1.99%,"1,700",-13.24%,"2,445",43.82%,"2,085"
티에프이,2022/11/17,"22,100",-6.75%,"10,500",110.48%,"10,000",-4.76%,"9,260"
윤성에프앤씨,2022/11/14,"188,200",-1.83%,"49,000",284.08%,"44,100",-10%,"40,450"
디티앤씨알오,2022/11/11,"5,700",-0.70%,"17,000",-66.47%,"15,700",-7.65%,"13,850"
뉴로메카,2022/11/04,"36,800",0.82%,"16,900",117.75%,"24,250",43.49%,"21,050"
제이아이테크,2022/11/04,"4,905",0.10%,"16,000",-69.34%,"14,400",-10%,"11,900"
NH스팩25호,2022/11/03,"2,460",0.00%,"2,000",23%,"2,110",5.5%,"2,175"
KB스팩23호,2022/11/03,"1,971",-0.50%,"2,000",-1.45%,"1,945",-2.75%,"1,940"
큐알티,2022/11/02,"11,510",-2.46%,"44,000",-73.84%,"43,000",-2.27%,"38,350"
교보스팩13호,2022/11/02,"2,085",0.00%,"2,000",4.25%,"2,000",0%,"1,975"
IBKS스팩20호,2022/10/28,"2,305",0.00%,"2,000",15.25%,"2,020",1%,"2,010"
저스템,2022/10/28,"13,980",-0.85%,"10,500",33.14%,"11,000",4.76%,"12,400"
산돌,2022/10/27,"9,610",-1.33%,"18,800",-48.88%,"24,150",28.46%,"20,850"
삼성스팩7호,2022/10/26,"9,770",-0.31%,"10,000",-2.3%,"17,150",71.5%,"14,100"
플라즈맵,2022/10/21,"5,870",-4.71%,"7,000",-16.14%,"8,420",20.29%,"6,700"
한국스팩11호,2022/10/20,"2,790",0.00%,"2,000",39.5%,"2,045",2.25%,"2,035"
하나금융스팩25호,2022/10/20,"9,760",0.00%,"10,000",-2.4%,"9,900",-1%,"9,760"
핀텔,2022/10/20,"6,090",-2.56%,"8,900",-31.57%,"15,300",71.91%,"10,850"
NH스팩24호,2022/10/20,"2,180",0.00%,"2,000",9%,"2,060",3%,"2,055"
샤페론,2022/10/19,"4,620",2.21%,"5,000",-7.6%,"9,000",80%,"8,630"
탑머티리얼,2022/10/18,"73,500",6.21%,"30,000",145%,"33,500",11.67%,"37,000"
에스비비테크,2022/10/17,"46,300",-5.03%,"12,400",273.39%,"23,900",92.74%,"31,050"
오에스피,2022/10/14,"6,030",-1.15%,"8,400",-28.21%,"10,850",29.17%,"10,050"
이노룰스,2022/10/07,"8,240",-2.14%,"12,500",-34.08%,"13,150",5.2%,"15,850"
모델솔루션,2022/10/07,"17,660",-1.78%,"27,000",-34.59%,"29,500",9.26%,"30,900"
유안타스팩10호,2022/10/06,"2,070",0.24%,"2,000",3.5%,"2,050",2.5%,"2,065"
SK증권스팩8호,2022/10/06,"2,240",0.00%,"2,000",12%,"2,120",6%,"2,140"
KB스타리츠(유가),2022/10/06,"3,650",1.39%,"5,000",-27%,"4,500",-10%,"4,340"
선바이오,2022/10/05,"9,950",-0.20%,"11,000",-9.55%,"12,050",9.55%,"10,600"
더블유씨피,2022/09/30,"70,000",1.89%,"60,000",16.67%,"54,000",-10%,"41,700"
하나금융스팩24호,2022/09/29,"2,105",-0.94%,"2,000",5.25%,"2,085",4.25%,"2,080"
알피바이오,2022/09/29,"10,880",-3.12%,"13,000",-16.31%,"19,300",48.46%,"18,300"
한화플러스스팩3호,2022/09/29,"2,065",-2.59%,"2,000",3.25%,"2,110",5.5%,"2,125"
오픈엣지테크놀로지,2022/09/26,"19,140",-0.36%,"10,000",91.4%,"10,800",8%,"10,050"
KB스팩22호,2022/09/22,"2,170",0.00%,"2,000",8.5%,"2,105",5.25%,"2,110"
하나금융스팩23호,2022/09/15,"2,360",0.00%,"2,000",18%,"2,120",6%,"2,110"
키움스팩7호,2022/09/07,"2,100",-0.24%,"2,000",5%,"2,110",5.5%,"2,120"
IBKS스팩19호,2022/08/26,"2,325",0.00%,"2,000",16.25%,"2,095",4.75%,"2,095"
신영스팩8호,2022/08/26,"2,130",0.00%,"2,000",6.5%,"2,105",5.25%,"2,105"
대성하이텍,2022/08/22,"8,390",-0.12%,"9,000",-6.78%,"13,000",44.44%,"14,600"
쏘카(유가),2022/08/22,"13,270",-0.52%,"28,000",-52.61%,"28,000",0%,"26,300"
에이치와이티씨,2022/08/09,"8,710",-4.07%,"15,000",-41.93%,"14,700",-2%,"15,850"
유안타스팩9호,2022/08/04,"2,085",0.24%,"2,000",4.25%,"2,090",4.5%,"2,090"
새빗켐,2022/08/04,"89,100",-2.73%,"35,000",154.57%,"70,000",100%,"72,500"
수산인더스트리(유가),2022/08/01,"20,150",-1.47%,"35,000",-42.43%,"33,000",-5.71%,"32,500"
신한스팩10호,2022/07/29,"2,135",0.71%,"2,000",6.75%,"2,150",7.5%,"2,145"
아이씨에이치,2022/07/29,"5,020",-3.46%,"34,000",-85.24%,"30,600",-10%,"27,000"
성일하이텍,2022/07/28,"128,500",-1.46%,"50,000",157%,"99,900",99.8%,"88,200"
에이프릴바이오,2022/07/28,"27,200",-6.69%,"16,000",70%,"19,500",21.88%,"21,850"
IBKS스팩18호,2022/07/22,"2,315",-0.22%,"2,000",15.75%,"2,185",9.25%,"2,145"
루닛,2022/07/21,"162,200",-3.85%,"30,000",440.67%,"30,800",2.67%,"40,000"
에이치피에스피,2022/07/15,"31,600",-0.78%,"25,000",26.4%,"50,000",100%,"43,250"
대신밸런스12호스팩,2022/07/14,"2,580",0.00%,"2,000",29%,"2,170",8.5%,"2,135"
영창케미칼,2022/07/14,"12,240",-2.08%,"18,600",-34.19%,"18,400",-1.08%,"16,450"
코난테크놀로지,2022/07/07,"86,100",-0.35%,"25,000",244.4%,"35,300",41.2%,"30,600"
넥스트칩,2022/07/01,"12,840",-2.28%,"13,000",-1.23%,"17,150",31.92%,"14,300"
삼성스팩6호,2022/06/30,"2,680",-0.19%,"2,000",34%,"4,000",100%,"5,200"
NH스팩23호,2022/06/28,"2,125",-0.23%,"2,000",6.25%,"2,085",4.25%,"2,090"
교보스팩12호,2022/06/24,"2,065",-0.24%,"2,000",3.25%,"2,075",3.75%,"2,070"
보로노이,2022/06/24,"88,800",2.07%,"40,000",122%,"36,000",-10%,"29,350"
레이저쎌,2022/06/24,"11,060",-4.16%,"16,000",-30.88%,"20,600",28.75%,"17,350"
KB스팩21호,2022/06/23,"2,040",0.00%,"2,000",2%,"2,100",5%,"2,100"
위니아에이드,2022/06/23,"5,100",-1.16%,"16,200",-68.52%,"14,600",-9.88%,"11,000"
비플라이소프트,2022/06/20,"1,008",-1.56%,"10,000",-89.92%,"10,500",5%,"9,050"
범한퓨얼셀,2022/06/17,"23,850",-1.45%,"40,000",-40.38%,"41,000",2.5%,"47,950"
청담글로벌,2022/06/03,"8,340",5.04%,"6,000",39%,"6,500",8.33%,"7,640"
마스턴프리미어리츠(유가),2022/05/31,"2,935",0.17%,"5,000",-41.3%,"5,750",15%,"6,010"
하나금융스팩22호,2022/05/26,"2,120",-0.47%,"2,000",6%,"2,160",8%,"2,155"
가온칩스,2022/05/20,"39,350",-4.02%,"14,000",181.07%,"24,150",72.5%,"27,100"
대명에너지,2022/05/16,"25,850",0.39%,"15,000",72.33%,"15,450",3%,"13,950"
상상인스팩3호,2022/04/29,"2,300",0.22%,"2,000",15%,"2,155",7.75%,"2,150"
신영스팩7호,2022/04/28,"2,215",0.23%,"2,000",10.75%,"2,295",14.75%,"2,270"
포바이포,2022/04/28,"10,330",-3.37%,"17,000",-39.24%,"34,000",100%,"44,200"
신한스팩9호,2022/04/27,"2,220",0.45%,"2,000",11%,"2,240",12%,"2,255"
미래에셋비전스팩1호,2022/04/21,"2,075",-0.24%,"2,000",3.75%,"2,270",13.5%,"2,295"
키움스팩6호,2022/04/07,"2,140",0.00%,"2,000",7%,"2,180",9%,"2,215"
지투파워,2022/04/01,"9,940",-1.88%,"16,400",-39.39%,"32,800",100%,"35,250"
유진스팩8호,2022/03/31,"2,105",0.00%,"2,000",5.25%,"2,115",5.75%,"2,110"
코람코더원리츠(유가),2022/03/28,"4,525",0.56%,"5,000",-9.5%,"5,260",5.2%,"5,410"
세아메카닉스,2022/03/24,"4,620",-2.33%,"4,400",5%,"8,800",100%,"7,600"
공구우먼,2022/03/23,"7,540",-0.40%,"20,000",-62.3%,"21,600",8%,"20,000"
유일로보틱스,2022/03/18,"23,500",-1.05%,"10,000",135%,"20,000",100%,"26,000"
모아데이타,2022/03/10,"2,470",-2.37%,"20,000",-87.65%,"18,000",-10%,"16,050"
SK증권스팩7호,2022/03/07,"2,850",-2.40%,"2,000",42.5%,"2,135",6.75%,"2,130"
노을,2022/03/03,"5,780",7.43%,"10,000",-42.2%,"9,670",-3.3%,"9,210"
비씨엔씨,2022/03/03,"16,510",-3.45%,"13,000",27%,"26,000",100%,"22,600"
풍원정밀,2022/02/28,"9,170",0.77%,"15,200",-39.67%,"20,200",32.89%,"21,450"
스톤브릿지벤처스,2022/02/25,"4,015",-2.78%,"8,000",-49.81%,"7,200",-10%,"6,510"
하나금융스팩21호,2022/02/25,"2,100",-0.24%,"2,000",5%,"2,080",4%,"2,090"
브이씨,2022/02/24,"5,140",3.63%,"15,000",-65.73%,"17,400",16%,"15,350"
퓨런티어,2022/02/23,"26,600",-7.32%,"15,000",77.33%,"30,000",100%,"31,200"
바이오에프디엔씨,2022/02/21,"14,650",-1.35%,"28,000",-47.68%,"25,200",-10%,"22,200"
한국스팩10호,2022/02/21,"3,305",0.00%,"2,000",65.25%,"2,130",6.5%,"2,130"
IBKS스팩17호,2022/02/18,"3,330",-0.89%,"2,000",66.5%,"2,660",33%,"2,315"
인카금융서비스,2022/02/16,"12,950",-19.96%,"18,000",-28.06%,"17,250",-4.17%,"14,400"
나래나노텍,2022/02/08,"7,690",-1.66%,"17,500",-56.06%,"15,750",-10%,"13,900"
아셈스,2022/02/07,"7,970",-3.04%,"8,000",-0.38%,"16,000",100%,"13,500"
스코넥,2022/02/04,"9,000",-4.15%,"13,000",-30.77%,"26,000",100%,"24,450"
이지트로닉스,2022/02/04,"9,700",-2.02%,"22,000",-55.91%,"23,450",6.59%,"25,500"
LG에너지솔루션(유가),2022/01/27,"542,000",-0.91%,"300,000",80.67%,"597,000",99%,"505,000"
애드바이오텍,2022/01/24,"3,560",0.00%,"7,000",-49.14%,"6,730",-3.86%,"5,950"
케이옥션,2022/01/24,"4,570",-1.40%,"20,000",-77.15%,"40,000",100%,"52,000"
오토앤,2022/01/20,"9,630",-0.52%,"5,300",81.7%,"8,800",66.04%,"11,400"
디비금융스팩10호,2022/01/20,"2,120",0.00%,"2,000",6%,"2,075",3.75%,"2,115"
래몽래인,2021/12/30,"15,230",1.20%,"15,000",1.53%,"26,000",73.33%,"24,000"
하나금융스팩20호,2021/12/27,"2,735",-1.08%,"2,000",36.75%,"2,130",6.5%,"2,135"
NH스팩22호,2021/12/24,"3,505",0.00%,"2,000",75.25%,"2,090",4.5%,"2,085"
하이스팩7호,2021/12/20,"2,080",0.00%,"2,000",4%,"2,060",3%,"2,085"
교보스팩11호,2021/12/20,"2,245",0.90%,"2,000",12.25%,"2,065",3.25%,"2,095"
케이티비네트워크,2021/12/16,"2,555",0.00%,"5,800",-55.95%,"6,030",3.97%,"5,350"
신한서부티엔디리츠(유가),2021/12/10,"3,245",-2.11%,"5,000",-35.1%,"4,805",-3.9%,"4,915"
툴젠,2021/12/10,"39,200",-4.39%,"70,000",-44%,"82,300",17.57%,"91,100"
미래에셋글로벌리츠(유가),2021/12/03,"2,990",-0.33%,"5,000",-40.2%,"5,310",6.2%,"5,230"
대신밸런스스팩11호,2021/12/02,"3,535",0.00%,"2,000",76.75%,"2,060",3%,"2,070"
마인즈랩,2021/11/23,"23,250",-0.43%,"30,000",-22.5%,"29,650",-1.17%,"38,000"
알비더블유,2021/11/22,"4,615",-2.84%,"21,400",-78.43%,"42,800",100%,"38,950"
바이옵트로,2021/11/18,"6,310",-2.62%,"7,500",-15.87%,"7,300",-2.67%,"6,290"
NH올원리츠(유가),2021/11/18,"3,075",-0.16%,"5,000",-38.5%,"5,490",9.8%,"5,370"
트윔,2021/11/17,"13,000",-0.76%,"22,000",-40.91%,"44,000",100%,"41,100"
지오엘리먼트,2021/11/11,"11,640",-2.76%,"10,000",16.4%,"20,000",100%,"15,900"
아이티아이즈,2021/11/11,"7,760",-4.79%,"14,300",-45.73%,"28,600",100%,"20,050"
비트나인,2021/11/10,"6,850",-2.28%,"11,000",-37.73%,"15,250",38.64%,"11,400"
디어유,2021/11/10,"36,150",0.00%,"26,000",39.04%,"52,000",100%,"66,500"
지니너스,2021/11/08,"5,340",1.52%,"20,000",-73.3%,"18,000",-10%,"13,400"
카카오페이(유가),2021/11/03,"47,250",-2.88%,"90,000",-47.5%,"180,000",100%,"193,000"
피코그램,2021/11/03,"6,620",-2.93%,"12,500",-47.04%,"25,000",100%,"18,600"
엔켐,2021/11/01,"63,200",-1.40%,"42,000",50.48%,"81,600",94.29%,"80,000"
리파인,2021/10/29,"7,780",-1.14%,"21,000",-62.95%,"18,900",-10%,"14,300"
지앤비에스엔지니어링,2021/10/29,"23,650",-0.21%,"17,400",35.92%,"24,000",37.93%,"19,200"
아이패밀리에스씨,2021/10/28,"24,750",-0.80%,"25,000",-1%,"28,650",14.6%,"25,400"
차백신연구소,2021/10/22,"5,180",0.00%,"11,000",-52.91%,"11,700",6.36%,"13,000"
지아이텍,2021/10/21,"3,925",-6.55%,"14,000",-71.96%,"28,000",100%,"36,400"
NH스팩21호,2021/10/15,"3,035",-3.19%,"2,000",51.75%,"2,075",3.75%,"2,075"
케이카(유가),2021/10/13,"12,380",0.57%,"25,000",-50.48%,"22,500",-10%,"23,000"
씨유테크,2021/10/08,"3,915",-1.14%,"6,000",-34.75%,"12,000",100%,"8,400"
원준,2021/10/07,"22,650",-3.21%,"65,000",-65.15%,"102,000",56.92%,"87,000"
하나금융스팩19호,2021/10/07,"2,835",0.00%,"2,000",41.75%,"2,045",2.25%,"2,045"
아스플로,2021/10/07,"12,250",-4.60%,"25,000",-51%,"36,000",44%,"28,350"
NH스팩20호,2021/10/05,"9,980",-0.20%,"2,000",399%,"2,030",1.5%,"2,050"
에스앤디,2021/09/29,"14,920",4.41%,"28,000",-46.71%,"25,200",-10%,"21,700"
실리콘투,2021/09/29,"8,450",4.58%,"27,200",-68.93%,"38,500",41.54%,"29,000"
프롬바이오,2021/09/28,"7,570",2.30%,"18,000",-57.94%,"19,250",6.94%,"19,850"
신한스팩8호,2021/09/27,"2,325",0.00%,"2,000",16.25%,"2,100",5%,"2,080"
바이오플러스,2021/09/27,"8,350",3.34%,"31,500",-73.49%,"39,500",25.4%,"32,450"
대신밸런스스팩10호,2021/09/17,"5,070",0.00%,"2,000",153.5%,"2,305",15.25%,"2,220"
현대중공업(유가),2021/09/17,"127,700",-3.62%,"60,000",112.83%,"111,000",85%,"111,500"
SK리츠(유가),2021/09/14,"4,370",1.16%,"5,000",-12.6%,"5,340",6.8%,"5,780"
유진스팩7호,2021/09/13,"2,325",-0.21%,"2,000",16.25%,"4,000",100%,"2,800"
와이엠텍,2021/09/10,"18,210",-5.25%,"28,000",-34.96%,"56,000",100%,"59,000"
에이비온,2021/09/08,"8,300",-4.60%,"17,000",-51.18%,"16,800",-1.18%,"15,700"
IBKS스팩16호,2021/09/03,"2,215",-2.42%,"2,000",10.75%,"4,000",100%,"2,475"
일진하이솔루스(유가),2021/09/01,"25,000",-2.91%,"34,300",-27.11%,"68,600",100%,"89,100"
디앤디플랫폼리츠,2021/08/27,"3,015",0.00%,"5,000",-39.7%,"5,390",7.8%,"5,290"
바이젠셀,2021/08/25,"6,070",-1.14%,"52,700",-88.48%,"73,500",39.47%,"59,500"
아주스틸(유가),2021/08/20,"8,700",-2.47%,"15,100",-42.38%,"30,200",100%,"33,500"
브레인즈컴퍼니,2021/08/19,"7,770",0.91%,"25,000",-68.92%,"50,000",100%,"65,000"
롯데렌탈(유가),2021/08/19,"27,150",0.56%,"59,000",-53.98%,"57,500",-2.54%,"55,500"
딥노이드,2021/08/17,"19,340",-5.66%,"42,000",-53.95%,"72,000",71.43%,"50,400"
한컴라이프케어(유가),2021/08/17,"5,180",-1.15%,"13,700",-62.19%,"16,050",17.15%,"12,800"
엠로,2021/08/13,"72,100",-6.36%,"22,600",219.03%,"32,700",44.69%,"28,300"
플래티어,2021/08/12,"10,170",-2.68%,"11,000",-7.55%,"22,000",100%,"28,600"
원티드랩,2021/08/11,"10,540",-3.30%,"35,000",-69.89%,"70,000",100%,"91,000"
크래프톤(유가),2021/08/10,"161,500",-0.98%,"498,000",-67.57%,"448,500",-9.94%,"454,000"
에이치케이이노엔,2021/08/09,"36,450",0.28%,"59,000",-38.22%,"68,100",15.42%,"68,500"
카카오뱅크(유가),2021/08/06,"27,100",-1.81%,"39,000",-30.51%,"53,700",37.69%,"69,800"
한화플러스스팩2호,2021/08/05,"2,180",-0.68%,"2,000",9%,"4,000",100%,-
에브리봇,2021/07/28,"14,050",-1.26%,"36,700",-61.72%,"33,050",-9.95%,"30,300"
맥스트,2021/07/27,"7,990",-4.77%,"15,000",-46.73%,"30,000",100%,"39,000"
큐라클,2021/07/22,"14,700",5.76%,"25,000",-41.2%,"36,500",46%,"30,650"
에스디바이오센서(유가),2021/07/16,"12,080",-3.82%,"52,000",-76.77%,"57,000",9.62%,"61,000"
오비고,2021/07/13,"9,050",-1.09%,"14,300",-36.71%,"19,200",34.27%,"20,700"
아모센스,2021/06/25,"14,590",1.53%,"12,400",17.66%,"12,250",-1.21%,"15,900"
이노뎁,2021/06/18,"10,940",-0.36%,"18,000",-39.22%,"22,200",23.33%,"18,050"
삼성머스트스팩5호,2021/06/17,"2,460",-2.96%,"2,000",23%,"4,000",100%,"5,200"
라온테크,2021/06/17,"9,530",-3.74%,"18,000",-47.06%,"20,250",12.5%,"20,500"
엘비루셈,2021/06/11,"7,190",-2.44%,"14,000",-48.64%,"18,000",28.57%,"15,200"
에이디엠코리아,2021/06/03,"2,285",-2.56%,"3,800",-39.87%,"7,600",100%,"9,880"
제주맥주,2021/05/26,"1,285",0.78%,"3,200",-59.84%,"4,780",49.38%,"4,900"
진시스템,2021/05/26,"26,900",-0.92%,"20,000",34.5%,"19,100",-4.5%,"17,400"
삼영에스앤씨,2021/05/21,"6,140",-3.61%,"11,000",-44.18%,"22,000",100%,"28,600"
삼성스팩4호,2021/05/21,"3,550",0.00%,"2,000",77.5%,"2,070",3.5%,"2,105"
NH스팩19호(유가),2021/05/21,"10,020",0.00%,"2,000",401%,"2,075",3.75%,"2,100"
샘씨엔에스,2021/05/20,"5,280",-1.86%,"6,500",-18.77%,"6,400",-1.54%,"8,320"
씨앤씨인터내셔널,2021/05/17,"65,400",0.00%,"47,500",37.68%,"47,250",-0.53%,"41,150"
에이치피오,2021/05/14,"9,460",0.42%,"22,200",-57.39%,"20,000",-9.91%,"16,750"
