종목명,종목코드,구분1,구분2,단위,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본잉여금,이익잉여금,기타자본항목,자본총계,매출액,영업이익,당기순이익
트루엔,417790,제 18 기말,2022년 12월 31일 현재,-,43372278817.0,11717357069.0,55089635886.0,3748346739.0,236755045.0,3985101784.0,842465000.0,1481885658.0,48780183444.0,0.0,51104534102.0,38831800711.0,9009323935.0,7633486968.0
엘비인베스트먼트,309960,제27기 3분기말,2022년 09월 30일 현재,-,17967341445.0,89382912703.0,107350254148.0,2484761072.0,8502342122.0,10987103194.0,20000000000.0,291210496.0,76051681177.0,20259281.0,96363150954.0,17314487264.0,7528803714.0,5771470197.0
지아이이노베이션,358570,제 6 (당)기 3분기,2022년 09월 30일 현재,-,98452520296.0,47261273773.0,145713794069.0,11398092233.0,4723879823.0,16121972056.0,10002100000.0,451805418462.0,-34150030071.0,9284604270.0,436942092661.0,3500000000.0,-45844682268.0,-44667883758.0
제이오,418550,제29(당)기 반기말,2022년 06월 30일 현재,-,45947902046.0,38618020423.0,84565922469.0,18203871051.0,10529400840.0,28733271891.0,2725935000.0,60732435766.0,-7775335336.0,149615148.0,55832650578.0,32726222377.0,-2790215030.0,-7732192791.0
샌즈랩,411080,2022년 3분기,(제19기 3분기),-,6149222397.0,2727127977.0,8876350374.0,4657602967.0,0.0,4657602967.0,1200000000.0,5627205129.0,-2691813020.0,83355298.0,4218747407.0,3160411860.0,-990908981.0,-732699111.0
이노진,344860,제18기 3분기,2022년 9월 30일 현재,-,6084322421.0,1632611343.0,7716933764.0,1154020903.0,62508357.0,1216529260.0,930000000.0,115000000.0,5455404504.0,0.0,6500404504.0,6882126368.0,1224277390.0,1095326274.0
바이오인프라,199730,제 16(당)기 3분기,: 2022년  9월  30일 현재,-,12597236366.0,19784420827.0,32381657193.0,7433207763.0,8319768256.0,15752976019.0,2063683500.0,1254767390.0,13310230284.0,0.0,16628681174.0,29223267972.0,5844734608.0,5160578501.0
나노팀,417010,제7(당)기 3분기말,2022년 09월 30일 현재,-,11263053155.0,29057528964.0,40320582119.0,7579657989.0,17004314026.0,24583972015.0,8521414000.0,3758869058.0,2864827822.0,591499224.0,15736610104.0,26647370578.0,2462049585.0,3765415401.0
자람테크놀로지,389020,2022년 반기,2022년 06월 30일 현재,-,16522620918.0,4781821376.0,21304442294.0,1996875030.0,158442096.0,2155317126.0,2733915000.0,5823319337.0,10591890831.0,0.0,19149125168.0,9439520991.0,850103649.0,943895366.0
금양그린파워,282720,제 30기 분기,2022년  9월 30일 현재,-,104165975638.0,13436725328.0,117602700966.0,48988090692.0,6624376725.0,55612467417.0,4510980000.0,8762090289.0,50068982368.0,-1351819108.0,61990233549.0,164839298341.0,8455090896.0,6780648438.0
한주라이트메탈,198940,제35(당)기 분기말,(2022년 9월 말),-,100738991220.0,86389832095.0,187128823315.0,113503783523.0,31713615081.0,145217398604.0,7845407500.0,18482132105.0,17246165707.0,-1662280601.0,41911424711.0,175127123705.0,7806350847.0,3241953337.0
티이엠씨,425040,제8(당)기 3분기말,2022.09.30 현재,-,163231563836.0,49137249332.0,212368813168.0,105360356713.0,11830112406.0,117190469119.0,4411557000.0,35682766319.0,53761331667.0,531644285.0,94387299271.0,237972319831.0,44337906884.0,36874455090.0
오브젠,417860,제23(당)기 3분기말,2022년 09월 30일 현재,-,8479818414.0,2440336189.0,10920154603.0,3691480568.0,6212844000.0,9904324568.0,1540270000.0,9814754702.0,-10339194667.0,0.0,1015830035.0,19227696096.0,53698878.0,63394956.0
미래반도체,254490,제 27기 3분기,2022년 09월 30일 현재,-,131182479234.0,4520961069.0,135703440303.0,43739846973.0,38522808248.0,82262655221.0,1073000000.0,0.0,52367785082.0,0.0,53440785082.0,392883181527.0,17260031120.0,14207628091.0
스튜디오미르,408900,제13기 3분기말,2022년 09월 30일 현재,-,18733796384.0,5976860233.0,24710656617.0,3710215156.0,233303706.0,3943518862.0,432055000.0,8722375368.0,11128336493.0,484370894.0,20767137755.0,19624992676.0,2753795691.0,1673734977.0
삼기이브이,419050,제 3 기 3분기말,2022년 09월 30일 현재,-,65609947315.0,36375919546.0,101985866861.0,31973017857.0,21898214605.0,53871232462.0,1207692900.0,34384704791.0,12522236708.0,0.0,48114634399.0,80285397375.0,7610576768.0,12114613391.0
꿈비,407400,제 9 기 3분기말,2022년 09월 30일 현재,-,8924235129.0,6877761486.0,15801996615.0,4556137349.0,3204927196.0,7761064545.0,612893000.0,602029180.0,5487695358.0,1338314532.0,8040932070.0,20487739026.0,1506944353.0,1282603809.0
바이오노트,377740,제 20(당) 반기말,2022년 6월 30일 현재,-,799373978558.0,932134507656.0,1731508486214.0,118245081293.0,93365008742.0,211610090035.0,46778024000.0,11877437540.0,1456121306722.0,5121627917.0,1519898396179.0,394268351629.0,276993399439.0,298287963079.0
티쓰리엔터테인먼트,204610,제 23기 반기,2022.06.30 현재,-,82010225340.0,26723472603.0,108733697943.0,24695521728.0,4649407871.0,29344929599.0,4807775200.0,4275454888.0,45769637627.0,10841926469.0,65694794184.0,35655624287.0,7771586162.0,9203380020.0
엔젯,419080,제14(당) 반기말,K-IFRS,-,20034393659.0,8676793383.0,28711187042.0,2754929285.0,1711245935.0,4466175220.0,4178892500.0,58202271549.0,-39060978898.0,924826671.0,24245011822.0,11461520009.0,3040255874.0,2562242835.0
티에프이,425420,제 20(당) 기 반기말,2022년 06월 30일 현재,-,32437194208.0,24353013179.0,56790207387.0,14764283275.0,7513040087.0,22277323362.0,900000000.0,0.0,34097595205.0,-484711180.0,34512884025.0,33228734268.0,5484503641.0,5040950585.0
인벤티지랩,951396,제 8 기 상반기말,2022년 06월 30일 현재,-,16107761619.0,9209106805.0,25316868424.0,2384751648.0,2238725934.0,4623477582.0,3567074000.0,29534726723.0,-15596539696.0,3188129815.0,20693390842.0,1098118883.0,-6414418228.0,-6325278432.0
펨트론,168360,제21(당)반기말,2022년 06월 30일 현재,-,34815002101.0,30228282870.0,65043284971.0,37457342940.0,14446475256.0,51903818196.0,4772071000.0,1908386800.0,6041562350.0,353206723.0,13075226873.0,24295312857.0,1510903427.0,1783658105.0
에스에이엠지엔터테인먼트,419530,제 23(당) 반기말,2022년 06월 30일 현재,-,25478957507.0,18109617995.0,43588575502.0,13606680266.0,2675252246.0,16281932512.0,3574465000.0,68024530271.0,-44714824259.0,422471978.0,27306642990.0,31910254166.0,1979950427.0,-17791430141.0
핀텔,291810,제 8 기 반기말,2022년 06월 30일 현재,-,7753145792.0,2712700817.0,10465846609.0,6276314091.0,869724670.0,7146038761.0,3948797500.0,3869264179.0,-5058455157.0,560201326.0,3319807848.0,4000263498.0,-1611416827.0,-1688578382.0
플라즈맵,405000,제 8(당) 반기말,2022년 06월 30일 현재,-,15025550066.0,11418064880.0,26443614946.0,7346953607.0,12802693608.0,20149647215.0,7941405000.0,1134708718.0,-6202015814.0,3419869827.0,6293967731.0,7655896893.0,-6043225794.0,-6271282873.0
산돌,419120,2022연도 상반기,K-IFRS,-,13786878513.0,23001661323.0,36788539836.0,4243390328.0,6139991589.0,10383381917.0,3068563000.0,11842914845.0,11445025519.0,-35467877.0,26321035487.0,11267172911.0,6447579879.0,7901124847.0
저스템,417840,제7기 반기,2022년 6월 말,-,19744647602.0,31276612663.0,51021260265.0,13778824518.0,8198832553.0,21977657071.0,2585000000.0,2011526996.0,24475255821.0,-28179623.0,29043603194.0,22960666629.0,4319989154.0,3890230882.0
큐알티,405100,제9기 반기말,2022년 06월 30일 현재,-,35518206323.0,32230347945.0,67748554268.0,13511229656.0,11528731325.0,25039960981.0,1326540000.0,4140789337.0,35604079628.0,1637184322.0,42708593287.0,31683144251.0,7290281763.0,6792418592.0
뉴로메카,348340,제 10(당)기 반기말,2022년 06월 30일 현재,-,20478420097.0,2188188485.0,22666608582.0,8775265601.0,175205096.0,8950470697.0,4155210000.0,11769173944.0,-2225003163.0,16757104.0,13716137885.0,4603981720.0,-2321393934.0,-2142105260.0
제이아이테크,417500,제9기,(2022년6월말),-,28871915969.0,18067375372.0,46939291341.0,16186206811.0,728426896.0,16914633707.0,651545000.0,6848006687.0,22554642649.0,-29536702.0,30024657634.0,31496649226.0,6849442630.0,5459738427.0
윤성에프앤씨,372170,제 23(당)기      반기말,2022년  06월 30일 현재,-,142919885499.0,58858646980.0,201778532479.0,136554045876.0,19038457052.0,155592502928.0,628350000.0,6757833670.0,38799845881.0,0.0,46186029551.0,107961598638.0,14674964787.0,13773971464.0
디티앤씨알오,383930,2022년 반기,K-IFRS,-,20071117255.0,19815213544.0,39886330799.0,16890526268.0,1533278474.0,18423804742.0,2436628000.0,17150652451.0,1875245606.0,0.0,21462526057.0,22965462438.0,3600186721.0,3411670347.0
오픈엣지테크놀로지,394280,제6기 (2022년 반기말),K-IFRS,-,23122971264.0,8046278320.0,31169249584.0,8020858502.0,2798059626.0,10818918128.0,1767047400.0,65152518133.0,-49338001101.0,2768767024.0,20350331456.0,7007943098.0,-6076710118.0,-6303500055.0
더블유씨피,393890,제 6 (전) 기,2021년 12월 31일 현재,-,214414990470.0,415602343301.0,630017333771.0,128305387781.0,95954344694.0,224259732475.0,12350084000.0,451548133062.0,-58140615766.0,0.0,405757601296.0,185498673958.0,40855746362.0,-9963986760.0
알피바이오,314140,제7기 상반기말,2022년 06월 30일 현재,-,64918717772.0,90258202644.0,155176920416.0,80420056339.0,3770053631.0,84190109970.0,3293971000.0,37431193929.0,30201302328.0,60343189.0,70986810446.0,68070663686.0,6742481495.0,6041548870.0
선바이오,067370,제 26 (당) 기 반기,2022년 06월 30일 현재,-,10914800022.0,26641302140.0,37556102162.0,19798723490.0,1212491632.0,21011215122.0,5841408000.0,6724545404.0,1194229221.0,2784704415.0,16544887040.0,3208581780.0,-36785659.0,569869907.0
모델솔루션,417970,2022년도,(제18기 반기말),-,29877309226.0,25248817834.0,55126127060.0,9413442820.0,15055872752.0,24469315572.0,2683350000.0,6792784.0,27887700501.0,78968203.0,30656811488.0,32283470111.0,4010460255.0,3506329206.0
이노룰스,296640,제 16(당)기 반기말,2022년 6월 30일,-,14850410445.0,7032610419.0,21883020864.0,3171258979.0,757264350.0,3928523329.0,2042847000.0,8434947978.0,7524071834.0,-47369277.0,17954497535.0,8111075582.0,1560613497.0,1466098756.0
오에스피,368970,제 19기(당) 반기말,2022년 06월 30일 현재,-,14755351668.0,7092703968.0,21848055636.0,3644806261.0,161465374.0,3806271635.0,3614240000.0,2038640050.0,12535893283.0,-146989332.0,18041784001.0,10510626339.0,1768649675.0,1557028060.0
탑머티리얼,360070,제11기 반기말,2022년 6월 30일 현재,-,26475079948.0,17904752888.0,44379832836.0,7951729310.0,2244367004.0,10196096314.0,2975505000.0,28996169878.0,1811143827.0,400917817.0,34183736522.0,37807938027.0,8269640026.0,7579613965.0
에스비비테크,389500,제23(당)기 반기말,2022년 06월 30일 현재,-,6084660818.0,10961762683.0,17046423501.0,6155120503.0,4157993076.0,10313113579.0,2345245000.0,13210145697.0,-11643784836.0,2821704061.0,6733309922.0,3983248247.0,-404045587.0,38874041.0
샤페론,378800,제15기 당반기말,K-IFRS,-,23519680460.0,1427238684.0,24946919144.0,1561270790.0,1712367083.0,3273637873.0,9701185500.0,90406382470.0,-82655401706.0,4221115007.0,21673281271.0,2000000000.0,-4068060017.0,-3926648287.0
쏘카,403550,제 12(당)기 1분기말,2022년 03월 31일 현재,-,106191773950.0,347776237628.0,453968011578.0,146824135510.0,155030886539.0,301855022049.0,2908565200.0,424394216390.0,-27922323575.0,4033443697.0,403413901712.0,65505223142.0,-6889641150.0,-9377087016.0
대성하이텍,129920,2021연도,K-IFRS,-,87308076029.0,55457028314.0,142765104343.0,89150126187.0,22633300695.0,111783426882.0,900000000.0,7748544118.0,21981182928.0,351950415.0,30981677461.0,102716207251.0,11691678673.0,7457425500.0
루닛,328130,제10기 1분기,(2022년 3월말),-,74856956727.0,4302897983.0,79159854710.0,93097323093.0,4610177245.0,97707500338.0,4635370000.0,217780466394.0,-240932348666.0,0.0,-18516512272.0,2976258789.0,-13424330409.0,-21760186203.0
성일하이텍,365340,제 6(당) 1분기말,2022년 03월 31일 현재,-,54358167171.0,146521328670.0,200879495841.0,46052831231.0,38821075308.0,84873906539.0,4461824500.0,113396475394.0,-1347706529.0,-505004063.0,116005589302.0,46984122552.0,7889081449.0,7366311105.0
에이프릴바이오,397030,2021년 12월 31일 현재,제 9기,-,59395196333.0,1981262105.0,61376458438.0,4045276475.0,165685661.0,4210962136.0,9179845000.0,117252145616.0,-69266494314.0,0.0,57165496302.0,23395944000.0,4446348228.0,-52713117002.0
아이씨에이치,368600,제 10(전)기 기말,2021년 12월 31일 현재,-,15348176588.0,32597629385.0,47945805973.0,15309556890.0,7024825986.0,22334382876.0,2300172000.0,14518669781.0,8796125824.0,-3544508.0,25611423097.0,23271486803.0,1056559555.0,1514618703.0
수산인더스트리,126720,2021 연도 (제39기),K-IFRS,-,183267009931.0,215363414725.0,398630424656.0,60306250278.0,63054588223.0,123360838501.0,2000000000.0,4404750447.0,265256701538.0,3608134170.0,275269586155.0,294110712658.0,51306310392.0,53317628945.0
새빗켐,107600,제21기 2021년 12월말,(K-IFRS),-,13507038742.0,10378853595.0,23885892337.0,6707864679.0,2531630122.0,9239494801.0,2048387000.0,523506045.0,12074504491.0,0.0,14646397536.0,33388663651.0,5540032480.0,4422891976.0
에이치와이티씨,148930,2021년 제 16기 기말,K-IFRS,-,17248889410.0,18915796365.0,36164685775.0,6414005985.0,12755166323.0,19169172308.0,3762023500.0,5475520581.0,7467719551.0,290249835.0,16995513467.0,35745325285.0,7358783978.0,7479105747.0
범한퓨얼셀,382900,제4(당)기 1분기말,2022년 03월 31일 현재,-,43090627637.0,20045734280.0,63136361917.0,31194800122.0,6197643650.0,37392443772.0,3300000000.0,14620966890.0,7822951255.0,0.0,25743918145.0,8476420249.0,1152978862.0,944061703.0
비플라이소프트,148780,제 24 기 (2021년 12월 31일),,-,8495294589.0,872246185.0,9367540774.0,6446132201.0,511567600.0,6957699801.0,2624659000.0,6896478440.0,-8470179502.0,1358883035.0,2409840973.0,16994279855.0,-820599525.0,-1899039453.0
보로노이,310210,제7기 3분기 [2021],K-IFRS,KRW (원),31754512985.0,17297016934.0,49051529919.0,10436491666.0,24341784779.0,34778276445.0,5656974500.0,86888840107.0,-96902159026.0,18629597893.0,14273253474.0,10117870112.0,-7789035131.0,-12323339807.0
위니아에이드,377460,제 7 기   2021.12.31 현재,,-,151432536709.0,128597334341.0,280029871050.0,160500526507.0,20655361485.0,181155887992.0,4982795000.0,28991320067.0,64933494817.0,-33626826.0,98873983058.0,486454667882.0,34435723653.0,24919142327.0
레이저쎌,412350,2022년 1분기,(제8기 1분기말),-,13410454427.0,2276465754.0,15686920181.0,1460655986.0,540905159.0,2001561145.0,3388886000.0,37543550500.0,-27653294517.0,406217053.0,13685359036.0,3347118735.0,-566087802.0,-442247838.0
넥스트칩,092600,2022년 3월 31일 현재,제 4 기 1분기말,-,24688525847.0,3488800606.0,28177326453.0,3538964324.0,1468217254.0,5007181578.0,7353658500.0,74038877965.0,-58222391590.0,0.0,23170144875.0,2810543713.0,-9819311428.0,-9802536933.0
코난테크놀로지,402030,2022년 1분기말,K-IFRS,-,20953217199.0,1828811624.0,22782028823.0,5654690056.0,3915783917.0,9570473973.0,2222222000.0,15169300240.0,-4287326653.0,107359263.0,13211554850.0,2618518531.0,-1176228385.0,-1147570972.0
영창케미칼,112290,2021년말,제21기,-,18187648333.0,63523781135.0,81711429468.0,39106370451.0,14891695109.0,53998065560.0,8056782000.0,5892606743.0,13874978915.0,-111003750.0,27713363908.0,66430133756.0,2236050235.0,-813866771.0
가온칩스,399720,제 10 기말 (2021.12.31),,-,29916404375.0,7076710460.0,36993114835.0,13808071614.0,1323047300.0,15131118914.0,4714160000.0,755760859.0,16368724338.0,23350724.0,21861995921.0,32235607297.0,6202436087.0,6182765868.0
청담글로벌,362320,제 5(당) 기 2021년 12월 31일,,-,32010983591.0,5174218110.0,37185201701.0,7076469521.0,3860000000.0,10936469521.0,7662870000.0,9299307599.0,9342281658.0,-55727077.0,26248732180.0,135548008229.0,9364857608.0,5817839989.0
포바이포,389140,제 5기 (2021),K-IFRS,-,35108383668.0,9349614017.0,44457997685.0,6411828667.0,1542080294.0,7953908961.0,4290492500.0,24890735981.0,6260993405.0,1061866838.0,36504088724.0,22276034842.0,4013969721.0,3763916757.0
대명에너지,389260,제22기 3분기 [2021],K-IFRS,KRW (원),82546653186.0,71671824256.0,154218477442.0,48126804154.0,47416135170.0,95542939324.0,1500000000.0,146332371.0,50077191440.0,6952014307.0,58675538118.0,95870723865.0,36767076230.0,19587673856.0
공구우먼,366030,제16기 3분기 [2021],K-IFRS,KRW (원),16344383721.0,11192426655.0,27536810376.0,3503857874.0,0.0,3503857874.0,251850000.0,20015000.0,23645247029.0,115840473.0,24032952502.0,31593596970.0,6757494882.0,5709351000.0
세아메카닉스,396300,제23기 3분기 [2021],K-IFRS,KRW (원),29540721732.0,25608488715.0,55149210447.0,15440220629.0,838077165.0,16278297794.0,624000000.0,1691390337.0,37288078697.0,-732556381.0,38870912653.0,78848221733.0,5068648491.0,5399333244.0
지투파워,388050,제12기 3분기 [2021],K-IFRS,KRW (원),20598044883.0,5199532315.0,25797577198.0,7833004055.0,418006969.0,8251011024.0,1479592500.0,10097494116.0,5792651247.0,176828311.0,17546566174.0,26979753452.0,2762814162.0,2266371069.0
퓨런티어,370090,제13기 3분기 [2021],K-IFRS,KRW (원),10401568079.0,3244176326.0,13645744405.0,2075562557.0,548143435.0,2623705992.0,3170355000.0,0.0,-896005886.0,8747689299.0,11022038413.0,16143185043.0,742757963.0,903698817.0
스톤브릿지벤처스,330730,제5기 3분기 [2021],K-IFRS,KRW (원),56880205003.0,15154595674.0,72034800677.0,6391747994.0,5777013371.0,12168761365.0,7528665000.0,4256793101.0,47008375330.0,1072205881.0,59866039312.0,31251538408.0,22360688445.0,18373825986.0
브이씨,365900,제17기 3분기 [2021],K-IFRS,-,29408504302.0,29935128511.0,59343632813.0,9634831976.0,18783609427.0,28418441403.0,2978900000.0,9452194704.0,16855537662.0,1711389103.0,30998021469.0,40518812202.0,7548473769.0,5412302482.0
풍원정밀,371950,제26기 3분기 [2021],K-IFRS,KRW (원),24826401681.0,43740653836.0,68567055517.0,32651024972.0,7948563716.0,40599588688.0,9020244000.0,6959628810.0,11952474296.0,35119723.0,27967466829.0,30416414228.0,2512637109.0,2163368277.0
노을,376930,제 7기 당3분기 [2021],K-IFRS,KRW (원),16487019736.0,5388773996.0,21875793732.0,2805550104.0,15847319306.0,18652869410.0,4440025000.0,28882955425.0,-30482300148.0,382244045.0,3222924322.0,1175769354.0,-7359846122.0,-10602469785.0
비씨엔씨,146320,제19기 3분기 [2021],K-IFRS,-,25805230833.0,41124619364.0,66929850197.0,24396121450.0,14777223483.0,39173344933.0,4896461500.0,8676926574.0,13928403698.0,254713492.0,27756505264.0,46809410956.0,7109202493.0,5630178736.0
모아데이타,288980,제8기 3분기 [2021],K-IFRS,KRW (원),13805628714.0,10454185515.0,24259814229.0,4133849940.0,1477875495.0,5611725435.0,2280536000.0,11906419232.0,4088209855.0,372923707.0,18648088794.0,14369563898.0,2086930352.0,458277627.0
코람코더원리츠,417310,제12기말 [2021.12.31],K-IFRS,KRW (원),10524771835.0,512806152029.0,523330923864.0,100259380059.0,307644370988.0,407903751047.0,10450000000.0,25782612120.0,79194560697.0,0.0,115427172817.0,13440087961.0,9023033512.0,2685766036.0
유일로보틱스,388720,제11기 3분기 [2021],K-IFRS,KRW (원),20639996231.0,15634529974.0,36274526205.0,11543047098.0,4847217095.0,16390264193.0,3183173000.0,7805699546.0,10910432162.0,-2015042696.0,19884262012.0,25059614585.0,2533626884.0,2639543278.0
오토앤,353590,제 10기 3분기 [2021],K-IFRS,KRW (원),27874146376.0,13003246461.0,40877392837.0,18493155748.0,6345711814.0,24838867562.0,4955832000.0,9844948495.0,1235464533.0,2280247.0,16038525275.0,36733558625.0,2061202483.0,1380648272.0
애드바이오텍,179530,제22기 3분기 [2021],K-IFRS,KRW (원),9615826118.0,10039286685.0,19655112803.0,11416925665.0,3274541203.0,14691466868.0,3846522000.0,18292579071.0,-16349064167.0,-826390969.0,4963645935.0,7862259945.0,-1253406566.0,-2814744765.0
케이옥션,102370,제17기 3분기말 [2021],K-IFRS,KRW (원),52399536721.0,49890950771.0,102290487492.0,27283696862.0,6277179829.0,33560876691.0,3790710000.0,20295313019.0,29040002060.0,15603585722.0,68729610801.0,23082767351.0,10491757934.0,8217629859.0
LG에너지솔루션,373220,제2기 3분기 [2021],K-IFRS,KRW (백만원),9860210.0,13752096.0,23612306.0,8977353.0,5412775.0,14390128.0,100000.0,7231468.0,303807.0,1586903.0,9222178.0,13412546.0,692737.0,858057.0
스코넥엔터테인먼트,276040,제21기 3분기 [2021],K-IFRS,KRW (원),3337434965.0,3195512561.0,6532947526.0,4918537165.0,737952289.0,5656489454.0,4889460000.0,35849540097.0,-41008086423.0,1145544398.0,876458072.0,3607518734.0,-2584052563.0,-2657623315.0
